# Object: 
# Sample: 
# Curr: 900 (Watts: 0.00212998, Luxes: 8.2241)
#Time	L	a	b	dE76	dE94	dE2000	dL	da	db
0	75.2316	11.3989	59.7486	0	0	0	0	0	0
1.514	74.5806	12.4658	59.2524	1.3447	0.887052	0.890762	-0.650973	1.06688	-0.496202
3.513	74.2008	13.0884	58.8349	2.17986	1.41761	1.43087	-1.03083	1.6895	-0.913657
5.506	73.9142	13.5197	58.5198	2.7827	1.80559	1.81986	-1.31741	2.12081	-1.22882
7.512	73.7289	13.7933	58.4032	3.13068	2.04602	2.05642	-1.50273	2.39434	-1.3454
9.535	73.5638	14.0181	58.196	3.47163	2.26455	2.27291	-1.66779	2.61917	-1.55262
11.542	73.435	14.1669	58.092	3.69242	2.42042	2.41948	-1.79665	2.76801	-1.65653
13.549	73.3259	14.3153	57.932	3.92899	2.56748	2.56665	-1.90572	2.91639	-1.81655
15.577	73.244	14.4235	57.9414	4.04534	2.66334	2.65574	-1.98761	3.02459	-1.80721
17.581	73.1707	14.528	57.8148	4.21639	2.76577	2.7603	-2.06088	3.12912	-1.93374
19.59	73.1023	14.6108	57.7574	4.33758	2.85021	2.84085	-2.12932	3.21184	-1.99115
21.579	73.0475	14.67	57.7095	4.43033	2.91571	2.90202	-2.18408	3.27106	-2.03907
23.586	72.9907	14.7216	57.6653	4.51685	2.97992	2.95957	-2.24088	3.32273	-2.08323
25.596	72.9452	14.8019	57.5945	4.6312	3.04786	3.03159	-2.28641	3.40295	-2.15412
27.613	72.9011	14.8357	57.5632	4.69239	3.09536	3.07257	-2.33051	3.43675	-2.1854
29.611	72.8667	14.8934	57.5445	4.76042	3.14202	3.12002	-2.36488	3.49445	-2.20404
31.62	72.8278	14.9197	57.5846	4.78094	3.17583	3.14391	-2.40386	3.52081	-2.16397
33.613	72.7927	14.9696	57.489	4.87888	3.2285	3.19959	-2.43887	3.5707	-2.25953
35.618	72.7685	15.012	57.4846	4.92412	3.26105	3.23259	-2.46311	3.61307	-2.26402
37.633	72.7341	15.0486	57.4281	4.99426	3.30489	3.27507	-2.49751	3.6497	-2.32051
39.645	72.7132	15.0814	57.4677	5.01051	3.32717	3.29473	-2.51843	3.68246	-2.28084
41.647	72.6892	15.1121	57.4029	5.07482	3.3621	3.33107	-2.54241	3.71322	-2.34563
43.663	72.6635	15.1494	57.4559	5.09097	3.3881	3.35305	-2.56811	3.7505	-2.29271
45.663	72.6425	15.1741	57.4283	5.1322	3.41491	3.37913	-2.58913	3.77521	-2.32026
47.683	72.6241	15.1834	57.4582	5.13497	3.42882	3.38715	-2.60756	3.78451	-2.29042
49.674	72.6003	15.2103	57.4004	5.19272	3.46154	3.42024	-2.63132	3.81136	-2.3482
51.682	72.5867	15.2327	57.3596	5.23459	3.48338	3.4441	-2.64494	3.8338	-2.38897
53.688	72.5694	15.2648	57.3877	5.25417	3.50393	3.46371	-2.66222	3.86587	-2.36092
55.692	72.5513	15.282	57.2943	5.31847	3.533	3.49507	-2.68027	3.88312	-2.45431
57.709	72.533	15.315	57.3797	5.31317	3.54866	3.50656	-2.69866	3.91605	-2.36887
59.712	72.5103	15.3263	57.418	5.31619	3.56566	3.51621	-2.72133	3.92743	-2.33058
61.723	72.5076	15.3605	57.3811	5.35902	3.58252	3.54081	-2.72405	3.96154	-2.36745
63.721	72.4933	15.3745	57.3521	5.3895	3.6009	3.55873	-2.73831	3.97559	-2.39647
65.748	72.4744	15.3897	57.3329	5.41886	3.62217	3.57771	-2.75721	3.99081	-2.41564
67.752	72.468	15.4024	57.4045	5.40008	3.62382	3.57592	-2.76364	4.00352	-2.34412
69.774	72.4521	15.4236	57.3647	5.44114	3.64676	3.59984	-2.77947	4.02466	-2.38383
71.783	72.4436	15.4552	57.3287	5.48469	3.66715	3.62551	-2.78798	4.05626	-2.41987
73.806	72.4259	15.4552	57.3608	5.47967	3.67735	3.62811	-2.8057	4.05626	-2.38781
75.814	72.4117	15.4656	57.3954	5.47972	3.68804	3.63427	-2.81993	4.0667	-2.35315
77.822	72.4088	15.4945	57.4247	5.49021	3.69656	3.64594	-2.82278	4.09557	-2.32392
79.828	72.3909	15.501	57.3332	5.54351	3.72161	3.67117	-2.8407	4.10203	-2.41541
81.851	72.3774	15.5318	57.3537	5.56445	3.7398	3.6898	-2.85426	4.1329	-2.39487
83.859	72.3659	15.5526	57.3362	5.5933	3.75701	3.70822	-2.8657	4.15368	-2.41241
85.873	72.3602	15.5571	57.3739	5.5834	3.75897	3.70715	-2.87139	4.15819	-2.37465
87.878	72.3544	15.5734	57.3428	5.61187	3.77185	3.72296	-2.87723	4.17453	-2.40581
89.897	72.3383	15.5805	57.3614	5.61743	3.78449	3.73066	-2.89327	4.18162	-2.38718
91.904	72.3311	15.6026	57.3878	5.62647	3.79446	3.74113	-2.90052	4.20365	-2.36081
93.893	72.3205	15.6224	57.4061	5.63911	3.80712	3.75315	-2.91115	4.22344	-2.34251
95.906	72.313	15.6237	57.4046	5.64462	3.81345	3.75733	-2.91866	4.2248	-2.34398
97.913	72.301	15.6574	57.3894	5.68231	3.83497	3.78226	-2.93065	4.25844	-2.35917
99.928	72.2972	15.6654	57.3742	5.69668	3.84201	3.79044	-2.93446	4.26653	-2.37441
101.912	72.2873	15.6765	57.3603	5.71579	3.85448	3.80254	-2.9443	4.27755	-2.38829
103.921	72.2801	15.6921	57.3625	5.73028	3.8648	3.8134	-2.95152	4.29314	-2.38611
105.944	72.2729	15.6918	57.3807	5.72622	3.86839	3.81356	-2.95872	4.29288	-2.36787
107.955	72.2498	15.7109	57.4107	5.74022	3.88922	3.82886	-2.98179	4.31203	-2.33784
109.961	72.245	15.7283	57.4674	5.73298	3.89293	3.8313	-2.98666	4.32934	-2.28117
111.967	72.2458	15.7293	57.338	5.78607	3.9055	3.8513	-2.98586	4.33038	-2.41062
113.981	72.2376	15.7412	57.4429	5.75634	3.90514	3.8449	-2.99403	4.34224	-2.30569
115.983	72.2365	15.7708	57.4156	5.79024	3.91822	3.86487	-2.99515	4.37184	-2.33302
118.017	72.2217	15.7762	57.3884	5.81297	3.93397	3.87823	-3.00993	4.37726	-2.36019
120.008	72.2117	15.7991	57.463	5.80562	3.94165	3.88305	-3.01995	4.40016	-2.28553
