#Wavelength [nm]	White Std.	Dark spec	0[s]	20.578[s]	40.667[s]	60.747[s]	80.814[s]	100.892[s]	120.956[s]	141.017[s]	161.122[s]	181.21[s]	201.3[s]	221.359[s]	241.466[s]	261.615[s]	281.707[s]	301.819[s]	301.831[s]
430.299	8422.05	1035.98	561.373	527.44	524.04	522.64	547.84	518.84	553.84	533.24	528.24	524.64	520.44	512.24	535.04	520.84	535.04	511.84	511.84
430.572	8729.51	1035.42	580.547	602.68	552.08	553.08	567.68	555.68	554.68	549.88	578.68	555.68	525.08	546.68	535.08	548.68	553.28	567.28	567.28
430.845	8948.34	1042.98	571.247	575.38	564.38	552.38	589.18	561.78	571.58	612.18	586.38	552.38	580.98	547.78	576.78	573.78	577.18	540.78	540.78
431.118	9027.42	1039.3	606.347	592.48	576.88	589.68	606.48	582.88	589.68	573.68	579.28	544.88	553.08	589.28	540.88	565.88	564.28	586.28	586.28
431.391	9179.7	1031.68	582.987	589.72	580.52	595.92	582.52	580.92	582.12	570.12	581.72	579.32	583.32	570.72	587.92	593.32	595.32	591.92	591.92
431.664	9421.46	1030.9	627.313	604.38	584.98	606.38	629.78	590.18	624.78	587.98	613.18	595.98	581.38	595.18	571.58	623.98	589.78	612.18	612.18
431.937	9687.49	1036.92	638.607	645.34	624.74	635.54	627.34	637.54	615.34	615.54	603.34	610.54	599.14	600.14	611.54	588.54	604.94	632.74	632.74
432.21	9951.87	1040.82	656.72	673.92	641.72	642.72	631.92	675.92	639.92	648.12	657.12	585.52	626.12	644.52	637.92	643.32	608.12	633.32	633.32
432.483	10196.8	1020.82	670.027	658.36	639.96	639.56	642.36	659.96	676.96	631.36	657.76	658.76	632.96	646.36	645.76	633.56	618.36	663.16	663.16
432.755	10401.5	1028.12	695.88	671.08	669.08	635.68	670.48	663.88	705.88	679.08	659.08	669.68	645.68	683.48	663.88	645.08	650.48	659.28	659.28
433.028	10577.4	1033.68	706.623	682.09	701.29	675.99	700.89	694.69	686.69	674.69	672.49	680.09	631.89	680.29	673.89	675.09	686.29	652.29	652.29
433.301	10740.1	1033.7	707.06	708.06	722.66	731.06	723.26	693.06	708.46	694.66	684.66	684.06	687.86	677.46	721.66	702.66	717.26	700.06	700.06
433.573	10872.2	1026.82	726.3	703.7	712.1	703.9	724.1	715.3	716.3	706.3	705.3	705.9	712.1	685.1	684.1	703.3	701.3	715.1	715.1
433.846	11440.7	1036.34	762.427	734.56	742.56	766.16	751.16	764.36	727.76	730.96	759.96	727.56	709.16	734.96	743.96	727.76	755.36	726.76	726.76
434.118	11313.3	1029.76	772.073	752.94	761.54	747.94	758.94	736.74	729.94	750.34	772.14	764.54	727.14	741.94	755.54	746.94	762.14	732.34	732.34
434.391	11405	1033.72	750.953	715.82	729.02	739.22	698.02	743.62	748.42	733.42	756.62	733.02	717.82	728.82	723.22	724.62	760.82	732.62	732.62
434.663	11730.8	1040.61	792.88	759.68	781.08	746.28	774.48	755.48	774.08	799.68	764.08	741.88	759.88	803.08	754.68	764.08	779.28	734.28	734.28
434.936	12043.1	1029.52	805.907	787.44	765.64	791.24	770.24	769.84	786.24	774.44	802.04	812.64	826.84	785.44	771.64	785.04	766.04	756.64	756.64
435.208	12122.4	1036.4	798.273	813.74	805.94	847.54	795.54	807.74	809.94	795.34	785.34	804.54	760.14	780.14	801.34	766.74	798.74	781.74	781.74
435.48	12474.5	1038.94	837.12	828.72	808.12	823.12	846.52	786.12	855.32	804.32	810.32	834.12	802.52	789.52	862.12	823.52	808.92	838.32	838.32
435.752	12544.1	1034.88	830.027	852.56	830.36	825.96	840.96	820.16	847.56	839.36	801.16	838.16	825.56	830.16	817.76	838.56	821.36	823.16	823.16
436.024	12632.3	1038.82	878.9	839.3	846.9	847.9	849.9	862.3	878.3	843.5	840.3	843.1	849.9	884.5	827.1	834.1	872.3	839.1	839.1
436.296	12978.7	1033.98	886.413	877.48	870.68	858.48	873.28	884.48	887.88	874.08	860.88	892.88	865.48	837.88	868.08	867.08	865.68	852.88	852.88
436.568	13299.7	1034.24	917.167	898.9	873.1	901.9	923.7	891.9	872.5	858.9	872.9	898.1	887.7	927.5	890.9	892.1	902.3	909.3	909.3
436.84	13344.7	1035.24	936.567	922.7	906.3	890.9	870.3	893.3	880.7	916.5	897.1	889.9	902.1	916.5	913.7	879.3	882.1	872.1	872.1
437.112	13711.1	1045.22	959.907	950.84	938.64	919.24	937.04	939.84	918.64	939.04	932.04	910.44	949.64	939.84	941.24	903.44	912.64	907.04	907.04
437.384	14138	1037.54	967.74	949.54	974.34	954.94	943.14	946.34	945.34	950.94	976.14	966.34	961.54	945.14	973.74	936.14	976.14	918.54	918.54
437.656	14124.4	1032.86	978.56	935.36	948.36	924.96	935.96	930.56	965.96	990.16	945.96	956.16	959.36	967.56	947.36	953.36	938.36	946.16	946.16
437.928	14231.4	1033.74	978.627	929.16	977.56	926.76	979.96	959.96	980.96	944.76	946.36	952.76	939.56	964.16	939.16	946.16	921.56	952.56	952.56
438.199	14726.1	1037.18	1035.85	996.92	1016.12	1005.32	995.52	1017.12	977.32	972.52	971.52	952.52	1004.72	996.92	1016.52	999.32	970.32	1005.32	1005.32
438.471	15112.5	1031.54	1042.71	1046.58	1029.58	1033.58	1024.78	978.58	1058.18	1006.58	1039.18	997.78	1052.58	1020.58	993.58	1010.58	1012.98	991.58	991.58
