#Wavelength [nm]	White Std.	Dark spec	0[s]	19.196[s]	39.28[s]	59.326[s]	79.397[s]	99.444[s]	119.519[s]	139.565[s]	159.679[s]	179.74[s]	199.809[s]	219.897[s]	240.016[s]	260.075[s]	280.163[s]	300.252[s]	300.262[s]
420.156	2097.42	1041.24	175.34	158.74	166.94	173.54	170.54	172.74	175.14	158.74	165.54	146.74	137.54	166.54	166.94	152.74	157.34	151.34	151.34
420.431	2166.58	1035.36	163.647	183.58	147.58	155.78	192.18	183.78	188.78	168.78	156.98	158.78	171.78	163.78	152.18	173.78	186.58	195.78	195.78
420.706	2268.67	1030.26	186.033	147.3	175.9	180.7	185.9	175.7	183.5	160.9	183.5	166.3	187	187.9	185.5	163.5	158.9	177.7	177.7
420.981	2380.65	1034.74	187.66	187.86	194.26	163.06	184.86	153.46	176.46	174.06	163.66	174.06	183.86	187.86	186.46	165.66	187.86	179.26	179.26
421.256	2499.86	1039.18	198.917	186.65	208.45	151.45	190.25	165.05	185.25	210.05	177.65	188.25	163.45	157.65	177.85	164.25	231.65	203.05	203.05
421.531	2620.01	1035.34	216.253	222.12	209.32	205.52	179.12	202.32	196.12	202.72	204.72	179.92	200.52	196.52	202.92	210.52	195.12	182.72	182.72
421.805	2755.52	1037.66	214.68	227.48	214.88	182.48	211.08	217.68	205.88	193.48	189.88	202.68	187.48	224.28	214.08	207.28	199.08	225.28	225.28
422.08	2816.77	1038.16	228.027	228.56	194.56	212.56	212.36	188.76	215.56	207.36	227.36	239.96	183.96	201.56	210.16	178.36	200.76	188.56	188.56
422.355	3038.76	1025.24	249.973	234.44	252.24	219.44	226.04	216.24	216.64	223.84	224.64	237.64	238.84	231.04	236.04	198.64	224.84	212.44	212.44
422.63	3131.63	1037.56	254.047	214.78	219.38	251.38	209.18	233.98	222.18	204.18	237.18	224.38	252.58	220.98	229.78	231.38	217.78	253.38	253.38
422.904	3226.56	1029.4	250.613	243.68	224.28	245.68	236.68	245.08	227.68	205.68	229.28	217.88	212.88	210.48	225.28	225.88	243.28	229.48	229.48
423.179	3334.87	1034.14	258.687	234.42	261.22	261.42	234.02	251.62	243.42	240.02	234.62	232.62	232.22	242.42	248.02	251.22	237.42	242.22	242.22
423.453	3481.44	1035.92	260.727	246.06	238.46	262.86	265.06	260.26	267.26	263.26	247.66	239.66	289.86	220.86	230.66	241.86	233.06	240.26	240.26
423.728	3684.03	1028.28	272.447	270.98	272.58	275.58	267.98	260.78	270.58	281.18	238.98	269.18	259.18	212.98	268.18	261.58	266.98	257.58	257.58
424.002	3801.02	1038.94	279.147	250.48	271.88	302.28	242.88	246.88	253.88	266.48	291.28	273.88	259.68	266.08	237.48	264.28	248.88	255.48	255.48
424.276	3962.07	1031.66	309.193	262.86	298.86	243.66	300.66	289.46	280.46	271.46	271.66	292.66	297.46	265.06	250.06	302.86	270.66	287.46	287.46
424.551	4161.04	1032.08	329.833	337.7	317.1	286.9	319.5	309.9	304.5	304.9	299.1	307.1	292.7	297.1	323.9	311.9	290.1	325.1	325.1
424.825	4324.26	1029.46	317.7	305.9	299.1	319.5	301.1	301.3	333.7	313.3	297.5	326.9	296.3	295.3	300.9	289.7	294.5	290.9	290.9
425.099	4500.9	1028.12	336.92	336.52	323.52	337.72	316.72	328.32	359.32	334.12	333.32	305.52	308.12	332.12	341.32	294.92	305.52	311.52	311.52
425.373	4679.09	1040.28	319.973	359.64	337.04	331.04	309.84	295.84	340.24	318.84	316.84	344.44	302.64	312.04	320.84	317.04	328.24	343.64	343.64
425.647	4928.73	1035.94	356.587	348.72	346.32	370.52	310.12	334.12	351.92	349.12	360.92	331.32	365.12	343.32	329.52	353.72	343.72	315.52	315.52
425.921	5037.36	1034.86	362.32	382.32	380.72	335.52	349.32	375.12	346.52	358.52	364.12	351.32	361.32	344.72	351.72	334.12	320.52	333.32	333.32
426.195	5113.26	1043.84	371.653	362.92	385.52	353.52	346.92	354.52	349.52	364.52	337.52	343.32	369.92	334.72	366.32	359.32	343.32	369.12	369.12
426.469	5385.73	1035.36	403.32	384.52	393.72	390.52	377.52	381.72	378.92	343.92	363.72	349.52	355.12	341.32	359.12	368.92	390.32	365.52	365.52
426.743	5649.55	1031	420.367	424.9	423.9	401.5	406.7	387.5	407.3	396.3	399.7	379.5	385.1	367.5	375.3	370.9	405.3	390.7	390.7
427.017	5781.29	1032.36	450.2	416.6	399.4	454	436.6	350	435.6	406.8	427.4	393	398	413.8	429.2	413	398	422.8	422.8
427.291	6014.73	1030.96	436.42	433.42	411.62	400.02	437.82	399.62	419.62	428.82	394.02	385.42	411.62	425.02	404.02	405.82	419.82	415.62	415.62
427.565	6244.66	1035.95	464.2	446.4	453.6	418.6	439.8	430.6	432.4	436.4	445.2	432.2	413.6	439	439.4	443.4	426.8	446.6	446.6
427.838	6431.49	1031.22	464.293	485.56	445.56	441.56	443.76	425.36	435.76	419.76	440.16	448.56	430.36	417.56	422.36	410.96	440.96	424.56	424.56
428.112	6663.32	1035.58	475.673	475.14	481.54	482.54	466.54	458.14	437.94	464.94	445.74	463.34	426.54	455.74	462.34	438.34	473.54	488.14	488.14
428.385	6841.81	1031.34	509.367	486.1	508.1	460.7	468.9	466.7	496.3	496.5	479.1	469.7	436.3	492.1	474.9	476.1	456.5	470.7	470.7
428.659	7079.69	1033.82	511.767	505.5	478.3	515.5	482.7	469.3	487.9	490.9	475.7	484.9	464.9	460.9	487.9	501.3	466.3	482.5	482.5
428.932	7310.97	1041.1	540.627	515.96	531.36	551.76	493.76	520.56	509.56	540.76	506.56	503.76	521.36	498.56	514.16	495.96	514.56	512.96	512.96
429.206	7491.87	1038.46	545.133	544	525.8	489	508.4	526.5	526	518	526.4	531	512.7	509	477.4	481.4	518.8	546.4	546.4
429.479	7851.67	1040.4	558.233	561.1	545.3	552.9	563.3	540.3	569.7	560.3	536.9	552.3	535.5	556.7	513.9	542.5	520.1	528.3	528.3
429.753	7903.38	1027.28	569.593	562.26	589.66	572.16	556.46	566.06	549.06	552.06	522.26	568.86	559.46	536.06	558.06	518.06	558.66	550.66	550.66
430.026	8105.87	1037.7	582.06	555.26	554.46	550.06	551.26	567.06	551.06	563.06	522.46	536.66	532.26	565.46	593.86	551.86	575.66	512.86	512.86
430.299	8422.05	1039.9	613.953	587.82	593.02	574.42	605.62	567.62	557.82	548.82	568.22	582.82	566.42	576.62	571.02	557.22	595.02	585.22	585.22
