#Wavelength [nm]	White Std.	Dark spec	0[s]	19.963[s]	40.004[s]	60.046[s]	80.107[s]	100.155[s]	120.207[s]	140.245[s]	160.34[s]	180.479[s]	200.542[s]	220.618[s]	240.657[s]	260.798[s]	280.886[s]	301.016[s]	301.029[s]
420.156	2097.42	1029.74	155.953	152.82	140.82	127.22	153.22	126.82	136.02	158.42	153.42	152.42	143.02	174.82	152.22	152.82	185.82	144.22	144.22
420.431	2166.58	1032.38	174.647	164.38	152.18	183.18	152.38	161.58	175.58	169.38	150.98	162.58	165.18	163.58	179.58	146.18	169.58	149.98	149.98
420.706	2268.67	1035.52	165.62	157.02	163.02	195.42	154.82	175.02	180.02	167.62	204.62	194.42	178.42	176.82	175.82	173.92	170.22	186.22	186.22
420.981	2380.65	1037.18	170.867	179.3	212.1	166.7	179.9	157.1	181.5	161.7	173.1	195.7	159.3	174.1	188.7	153.3	174.3	189.9	189.9
421.256	2499.86	1039.88	186.28	188.28	176.48	191.08	170.68	161.48	205.28	171.28	172.48	179.48	177.68	190.28	181.68	168.88	197.68	166.68	166.68
421.531	2620.01	1034.48	181.94	167.34	184.54	182.74	209.34	175.74	158.34	166.74	172.94	197.14	174.54	186.94	144.74	169.74	211.94	173.94	173.94
421.805	2755.52	1026.14	185.88	205.08	182.28	179.28	181.08	189.68	152.88	198.28	189.88	178.08	200.28	185.28	186.28	204.08	200.28	205.28	205.28
422.08	2816.77	1032.88	208.9	171.9	198.1	208.7	182.1	161.9	223.7	203.7	212.7	181.1	182.9	204.3	187.7	218.9	185.7	201.7	201.7
422.355	3038.76	1042.4	212.98	196.38	181.98	193.38	206.38	192.58	217.38	202.38	217.58	193.58	197.18	208.38	221.58	226.18	208.78	204.18	204.18
422.63	3131.63	1043.8	216.247	200.18	235.78	225.18	201.78	194.98	209.58	216.78	247.78	175.18	226.58	201.98	199.98	207.58	210.98	200.98	200.98
422.904	3226.56	1034.34	209.027	245.76	219.96	199.16	229.96	198.76	205.96	225.56	217.56	206.96	209.76	245.16	223.96	228.56	241.96	208.96	208.96
423.179	3334.87	1022.18	232.873	223.74	179.74	219.94	251.94	224.74	216.94	223.94	230.54	248.14	235.14	229.34	212.54	226.54	205.14	210.34	210.34
423.453	3481.44	1031.26	236.667	240.2	237	256.6	248.2	217.2	228.8	214.4	254.2	244	253.4	260.2	228.6	226.2	226.2	241.4	241.4
423.728	3684.03	1029.1	247.7	258.7	265.7	240.9	229.1	254.7	242.3	249.7	221.1	239.5	267.3	253.1	226.5	247.3	260.1	251.9	251.9
424.002	3801.02	1043.38	266.867	258.6	271.2	254.6	256.2	260	247	260	260.8	271.2	267.6	246	250.6	263.6	225.4	270.8	270.8
424.276	3962.07	1031.88	282.427	267.16	285.36	255.96	222.16	231.76	249.56	276.16	267.16	296.96	275.36	267.16	243.56	247.76	245.56	260.56	260.56
424.551	4161.04	1037.06	299.707	285.84	280.64	249.84	297.44	274.44	271.44	296.64	281.04	300.44	296.84	267.84	263.84	287.84	263.04	296.04	296.04
424.825	4324.26	1030.48	310.333	305.8	299.8	288	281.6	308.8	291.4	258.2	285	296	310.2	314.8	294.2	293.8	269.8	302.6	302.6
425.099	4500.9	1031.02	304.287	296.02	290.62	270.02	298.62	299.02	279.22	278.42	282.62	283.62	313.62	292.22	311.62	317.62	300.42	304.22	304.22
425.373	4679.09	1034.1	313.693	316.76	308.76	335.36	291.76	324.56	299.96	301.76	308.16	277.96	297.36	320.96	303.36	307.56	336.96	309.76	309.76
425.647	4928.73	1020.06	342.367	352.5	349.3	357.3	356.3	339.3	341.3	343.5	307.3	304.9	334.9	332.1	325.1	324.9	327.5	314.3	314.3
425.921	5037.36	1035.76	323.52	336.12	331.92	311.32	359.52	337.72	335.12	321.52	297.72	306.92	321.52	325.12	321.12	309.52	331.12	344.32	344.32
426.195	5113.26	1032.62	344.34	357.34	325.34	338.94	310.34	311.94	331.94	324.34	336.94	311.54	319.14	355.94	333.74	314.54	317.54	364.54	364.54
426.469	5385.73	1032.6	351.64	330.04	326.44	319.44	345.44	337.64	322.64	360.44	348.44	348.44	329.64	333.64	350.24	338.04	344.24	365.24	365.24
426.743	5649.55	1033.36	376.673	402.54	345.54	382.34	379.94	375.54	388.94	407.74	361.14	351.34	388.34	344.94	362.34	368.34	378.14	380.14	380.14
427.017	5781.29	1035.56	404.707	388.84	402.04	380.44	392.24	361.64	406.04	415.24	392.24	386.64	379.04	361.44	383.04	406.64	372.84	396.04	396.04
427.291	6014.73	1029	402.42	408.82	414.02	381.22	420.22	392.22	403.02	378.62	418.82	390.62	397.22	387.62	431.42	394.82	391.02	395.22	395.22
427.565	6244.66	1027.56	436.647	421.38	422.58	394.38	405.58	414.78	420.18	394.98	420.18	417.58	410.78	397.18	425.58	421.58	407.98	422.58	422.58
427.838	6431.49	1035.98	440.913	428.18	426.38	445.38	420.18	426.98	421.78	450.38	425.18	412.38	445.58	418.18	435.58	440.18	430.78	423.18	423.18
428.112	6663.32	1039.72	455.013	442.28	434.08	435.08	419.48	413.48	428.08	423.28	415.28	418.48	443.68	427.08	386.48	462.08	466.88	420.08	420.08
428.385	6841.81	1033.46	454.987	483.32	477.92	471.92	444.12	420.92	449.32	478.32	432.72	435.52	434.32	436.72	429.32	449.72	443.12	468.12	468.12
428.659	7079.69	1020.1	482.827	464.96	490.16	454.76	513.16	462.56	445.76	442.16	459.16	454.76	443.36	454.96	455.76	452.56	485.56	453.36	453.36
428.932	7310.97	1035.52	496.427	469.16	478.96	461.96	494.56	473.56	455.16	468.56	488.96	464.56	466.96	503.16	464.36	477.96	465.36	478.16	478.16
429.206	7491.87	1040.9	495.287	524.02	486.02	496.02	478.62	503.82	483.42	520.82	458.62	507.42	507.42	486.02	488.62	465.42	489.42	472.22	472.22
429.479	7851.67	1042.7	537.293	531.56	552.16	535.96	520.76	521.96	549.76	551.96	522.36	511.36	504.56	519.16	489.76	538.76	488.76	538.56	538.56
429.753	7903.38	1030.62	534.427	528.16	523.76	524.56	486.16	533.96	524.56	510.56	489.76	496.96	515.36	530.76	493.16	519.96	537.76	520.36	520.36
430.026	8105.87	1030.28	546.607	543.14	530.34	528.14	546.54	519.14	569.94	522.14	508.94	507.34	516.14	527.34	523.34	509.74	553.34	542.34	542.34
430.299	8422.05	1033.16	562.033	571.7	559.5	549.5	580.7	577.1	561.5	572.9	571.9	515.9	568.1	533.9	549.3	556.7	580.5	552.7	552.7
430.572	8729.51	1035.92	596.347	560.68	593.48	569.48	573.48	583.48	568.48	570.88	559.48	557.68	577.48	578.88	575.68	595.08	565.88	583.28	583.28
430.845	8948.34	1027.22	605.867	559.2	594.4	604.4	596.6	598.8	556.2	606	570.8	584.6	580.6	618.4	553.4	566.8	605	598.8	598.8
431.118	9027.42	1029.72	603.747	600.68	570.88	586.28	615.28	646.48	592.08	561.08	581.28	597.28	611.88	569.48	582.68	599.08	610.08	576.88	576.88
431.391	9179.7	1035.28	624.207	604.54	595.94	597.94	629.94	611.14	599.94	601.34	583.54	589.74	584.94	575.54	595.34	614.54	588.34	607.54	607.54
431.664	9421.46	1032.02	631.867	616.8	633.8	637.2	633	627.8	627.6	616.8	604.2	640	600.8	590.2	607.4	625.8	596.2	614.8	614.8
431.937	9687.49	1039.06	674.74	651.54	648.34	627.74	645.94	631.54	624.94	652.74	677.54	653.74	649.74	638.94	647.34	651.74	665.54	642.74	642.74
432.21	9951.87	1031.48	689.247	705.58	668.78	665.58	698.98	680.78	644.38	651.18	697.98	675.98	693.38	642.98	636.78	681.98	659.38	688.78	688.78
432.483	10196.8	1032.04	694.24	690.24	673.04	702.04	691.34	689.44	651.04	697.44	687.24	706.04	655.24	655.24	655.84	645.64	644.64	692.84	692.84
432.755	10401.5	1036.52	726.63	694.83	687.23	722.03	695.83	667.63	690.23	680.63	672.83	725.83	698.23	675.43	720.03	712.83	664.63	699.23	699.23
433.028	10577.4	1036.91	727.1	732.5	730.1	720.5	700.5	715.7	718.1	683.7	713.7	709.5	712.3	727.9	695.3	702.9	708.7	706.9	706.9
433.301	10740.1	1024.54	732.527	729.46	727.26	759.46	740.26	731.86	718.06	753.66	714.66	717.26	751.66	734.86	728.06	711.66	714.86	720.46	720.46
433.573	10872.2	1036.5	741.41	792.41	760.41	737.81	731.41	742.21	762.21	731.81	730.81	752.21	726.41	745.41	719.01	730.61	719.41	724.01	724.01
433.846	11440.7	1039.84	801.587	782.52	788.32	753.52	780.92	758.72	769.72	757.52	769.12	752.72	756.32	762.92	778.72	756.52	760.52	779.72	779.72
434.118	11313.3	1029.46	800.02	792.52	820.72	784.92	760.52	728.12	778.72	783.52	761.52	762.72	746.52	772.92	754.72	795.72	746.52	764.92	764.92
434.391	11405	1042.18	771.693	764.16	786.36	774.36	774.76	782.76	769.36	790.16	756.96	787.16	771.76	763.16	771.16	765.16	769.76	773.16	773.16
