# Object: 
# Sample: 
# Curr: 900 (Watts: 0.00212998, Luxes: 8.2241)
#Time	L	a	b	dE76	dE94	dE2000	dL	da	db
0	68.3764	13.1763	50.786	0	0	0	0	0	0
1.908	67.8271	13.8095	50.2373	1.00184	0.700926	0.685453	-0.549243	0.633192	-0.548715
3.916	67.5756	14.1016	49.9827	1.46376	1.02342	1.00262	-0.800744	0.925262	-0.803302
5.908	67.3723	14.3052	49.801	1.80356	1.271	1.23939	-1.0041	1.12888	-0.985002
7.916	67.2103	14.4657	49.5283	2.14576	1.48521	1.45185	-1.16613	1.28938	-1.25775
9.925	67.0868	14.603	49.4075	2.3662	1.64135	1.60494	-1.28959	1.4267	-1.37854
11.932	66.9757	14.7127	49.3229	2.5423	1.77432	1.73156	-1.40068	1.53642	-1.46313
13.931	66.88	14.8284	49.1318	2.77578	1.91188	1.874	-1.49635	1.65209	-1.65422
15.953	66.7909	14.9165	49.1004	2.8954	2.01348	1.96868	-1.5855	1.74016	-1.68564
17.956	66.7102	14.974	48.9703	3.05035	2.11291	2.06368	-1.66615	1.79765	-1.81576
19.979	66.6403	15.0598	48.8769	3.19475	2.20752	2.1598	-1.73611	1.88352	-1.90912
21.972	66.5744	15.126	48.7548	3.34281	2.29708	2.25019	-1.80202	1.94967	-2.03123
23.997	66.5138	15.1577	48.8467	3.3401	2.34162	2.27878	-1.86258	1.98141	-1.93936
25.989	66.4522	15.2168	48.6788	3.50808	2.43192	2.37254	-1.92418	2.04049	-2.10725
28.003	66.4038	15.2776	48.6756	3.57216	2.48914	2.42766	-1.97259	2.10127	-2.11042
30.005	66.3544	15.3183	48.5691	3.68665	2.55568	2.49431	-2.02198	2.14203	-2.21692
32.015	66.3064	15.3533	48.5311	3.75619	2.60973	2.54387	-2.07002	2.17699	-2.25493
34.008	66.26	15.393	48.4515	3.85263	2.66983	2.60321	-2.11642	2.21663	-2.33453
36.014	66.224	15.4306	48.5119	3.85825	2.70119	2.62806	-2.15238	2.25424	-2.27415
38.007	66.1871	15.4857	48.3959	3.97979	2.76353	2.69706	-2.18928	2.30935	-2.39013
40.019	66.1557	15.4901	48.3835	4.00714	2.79154	2.71824	-2.22064	2.31383	-2.40252
42.012	66.1219	15.5385	48.3149	4.09496	2.84272	2.77298	-2.25445	2.36219	-2.47107
