# Object: 
# Sample: 
# Curr: 900 (Watts: 0.00212998, Luxes: 8.2241)
#Time	L	a	b	dE76	dE94	dE2000	dL	da	db
124.972	70.8673	16.0373	56.1897	5.90905	3.9578	3.92288	-3.01784	4.26155	-2.76563
126.982	70.8578	16.0392	56.2493	5.88768	3.95916	3.91828	-3.02732	4.26351	-2.70603
128.988	70.8574	16.039	56.2345	5.89451	3.96097	3.92075	-3.02767	4.26331	-2.72078
130.982	70.8432	16.0629	56.1952	5.93727	3.9838	3.94582	-3.04192	4.28718	-2.76006
133.005	70.8414	16.0657	56.1908	5.94227	3.98656	3.94879	-3.04372	4.28999	-2.76446
135.013	70.835	16.0814	56.2806	5.91576	3.98677	3.94498	-3.05016	4.30566	-2.67471
137.02	70.8259	16.093	56.2178	5.95748	4.00419	3.96525	-3.05918	4.31731	-2.73748
139.012	70.8232	16.0875	56.2337	5.94761	4.00276	3.96102	-3.06187	4.31181	-2.72164
141.017	70.809	16.1027	56.2482	5.95935	4.01699	3.9728	-3.07614	4.32699	-2.7071
143.035	70.8119	16.1003	56.2424	5.95874	4.01459	3.97121	-3.0732	4.32459	-2.71291
145.036	70.8036	16.122	56.2621	5.96984	4.02577	3.98281	-3.08152	4.34623	-2.69325
147.044	70.7945	16.1413	56.2896	5.97632	4.036	3.99234	-3.09061	4.3656	-2.66573
149.045	70.7841	16.1482	56.2617	5.99921	4.04916	4.00506	-3.10101	4.37248	-2.69363
151.055	70.7827	16.1621	56.2488	6.01585	4.05609	4.01491	-3.10245	4.38633	-2.70655
153.084	70.7836	16.1652	56.2426	6.02044	4.05706	4.01712	-3.10153	4.38947	-2.71271
155.092	70.7816	16.1701	56.1999	6.04439	4.06476	4.02753	-3.1035	4.39441	-2.75538
157.092	70.7647	16.1622	56.2676	6.0168	4.06787	4.01995	-3.12039	4.3865	-2.68769
159.091	70.7599	16.191	56.243	6.05131	4.0834	4.04087	-3.12518	4.41528	-2.71235
161.133	70.7535	16.1919	56.2038	6.07294	4.09285	4.05062	-3.13165	4.41616	-2.75154
163.126	70.7575	16.2129	56.2277	6.07538	4.09392	4.05569	-3.1276	4.43717	-2.72761
165.14	70.7412	16.2086	56.2328	6.07836	4.10447	4.05992	-3.14391	4.43286	-2.72251
167.142	70.7359	16.2252	56.3057	6.06097	4.10605	4.05896	-3.14916	4.44949	-2.64957
169.152	70.7346	16.2302	56.331	6.05432	4.10604	4.05803	-3.15056	4.45443	-2.62426
171.168	70.7244	16.2289	56.2915	6.07591	4.11758	4.06832	-3.16068	4.4532	-2.66379
173.171	70.7318	16.2358	56.2183	6.10957	4.12194	4.08045	-3.15328	4.46008	-2.73704
175.19	70.7223	16.2635	56.2814	6.1068	4.13135	4.08864	-3.16276	4.48779	-2.67387
