# Object: 
# Sample: 
# Curr: 900 (Watts: 0.00212998, Luxes: 8.2241)
#Time	L	a	b	dE76	dE94	dE2000	dL	da	db
0	75.648	11.4312	59.0944	0	0	0	0	0	0
1.104	75.1355	12.2673	58.5928	1.10156	0.709617	0.715408	-0.512527	0.836171	-0.501566
3.114	74.7554	12.8542	58.2607	1.87534	1.22117	1.22513	-0.892592	1.42305	-0.833723
5.129	74.4913	13.2499	58.0267	2.4054	1.57326	1.5746	-1.15669	1.81879	-1.06771
7.13	74.2854	13.543	57.8501	2.80443	1.84219	1.83867	-1.36264	2.11181	-1.24431
9.13	74.1349	13.7606	57.7056	3.10557	2.04163	2.03622	-1.51315	2.32946	-1.38874
11.155	74.0065	13.95	57.4846	3.41038	2.22346	2.22207	-1.64149	2.51888	-1.60979
13.155	73.9027	14.0784	57.4251	3.58333	2.34961	2.34104	-1.74532	2.64721	-1.66924
15.18	73.8159	14.1861	57.2787	3.77395	2.46565	2.45598	-1.83207	2.75491	-1.81568
17.19	73.7351	14.2909	57.2593	3.89939	2.56271	2.54721	-1.9129	2.85978	-1.83513
19.196	73.6669	14.3899	57.1079	4.07737	2.66271	2.65113	-1.98107	2.95874	-1.98649
21.204	73.6095	14.4641	57.0839	4.17093	2.73267	2.71749	-2.03848	3.03299	-2.01053
23.21	73.5593	14.5221	57.0522	4.25294	2.79279	2.77362	-2.08875	3.09099	-2.04217
25.233	73.5106	14.5746	56.9951	4.34244	2.85271	2.83032	-2.13744	3.14344	-2.09928
27.233	73.4566	14.635	56.9633	4.42809	2.91645	2.88934	-2.19138	3.20381	-2.13105
29.256	73.4234	14.6815	57.002	4.46002	2.95247	2.92134	-2.22456	3.25039	-2.09238
31.267	73.3841	14.7452	56.8957	4.57627	3.01439	2.98796	-2.26392	3.31401	-2.19869
33.286	73.3507	14.7791	56.8543	4.63733	3.05514	3.02627	-2.29734	3.34799	-2.24011
35.278	73.3224	14.8083	56.89	4.65545	3.08211	3.04759	-2.32565	3.37717	-2.20437
37.286	73.2873	14.8434	56.8454	4.71958	3.12482	3.0877	-2.3607	3.41224	-2.24903
39.28	73.2623	14.9042	56.8335	4.78175	3.1648	3.13183	-2.38574	3.47302	-2.26086
41.286	73.2381	14.9202	56.8045	4.81921	3.19141	3.15495	-2.40994	3.48901	-2.28992
43.283	73.2153	14.9589	56.8459	4.83933	3.21679	3.17812	-2.43271	3.52778	-2.24851
45.29	73.1885	14.9932	56.8283	4.88591	3.25004	3.21002	-2.45946	3.562	-2.26611
47.282	73.1663	15.0052	56.7929	4.92237	3.2746	3.23132	-2.48171	3.57407	-2.30149
49.288	73.1464	15.0367	56.7624	4.96952	3.30314	3.26098	-2.50157	3.60559	-2.33195
51.314	73.1289	15.0613	56.713	5.01947	3.32974	3.28913	-2.51911	3.63016	-2.3814
53.32	73.0987	15.0895	56.7723	5.02738	3.35539	3.30704	-2.5493	3.65836	-2.32209
55.33	73.0908	15.1169	56.7616	5.05624	3.37138	3.32633	-2.55717	3.68574	-2.33276
57.336	73.0705	15.1484	56.7628	5.08894	3.39688	3.35113	-2.57748	3.71724	-2.33153
59.326	73.0576	15.1357	56.7184	5.10676	3.4073	3.35707	-2.59038	3.70452	-2.37602
61.351	73.0445	15.1861	56.6845	5.16584	3.43727	3.39435	-2.60355	3.75496	-2.40991
63.36	73.0329	15.1965	56.6639	5.18884	3.45163	3.40796	-2.61515	3.76532	-2.43052
65.366	73.0198	15.2081	56.6845	5.19423	3.46305	3.41618	-2.62817	3.77691	-2.40991
67.359	72.9992	15.2382	56.6501	5.24256	3.49218	3.44615	-2.64881	3.80709	-2.44424
69.369	72.9804	15.2731	56.6343	5.28479	3.51945	3.47483	-2.66762	3.84198	-2.46007
71.376	72.9717	15.2954	56.6546	5.29599	3.53108	3.48683	-2.67629	3.86423	-2.43982
73.383	72.9553	15.308	56.5921	5.3425	3.55435	3.51043	-2.69271	3.87689	-2.50226
75.38	72.9516	15.3227	56.6523	5.32711	3.55544	3.50992	-2.69642	3.89152	-2.44204
77.375	72.9383	15.3159	56.6716	5.32011	3.5613	3.50894	-2.70972	3.88473	-2.42277
79.397	72.9257	15.3484	56.6712	5.35049	3.58142	3.53128	-2.72227	3.91729	-2.42317
81.406	72.9105	15.3596	56.6381	5.38146	3.60016	3.54886	-2.73755	3.92842	-2.45631
83.394	72.8989	15.3777	56.6039	5.41625	3.61848	3.56871	-2.74913	3.94659	-2.49046
85.401	72.891	15.392	56.6341	5.41687	3.62588	3.57464	-2.75702	3.96084	-2.4603
87.409	72.8694	15.4151	56.6847	5.42206	3.64446	3.58776	-2.77863	3.9839	-2.40965
89.418	72.8683	15.4234	56.6257	5.45522	3.65422	3.60198	-2.77975	3.99223	-2.46869
91.409	72.8566	15.4455	56.6677	5.45852	3.66579	3.61172	-2.79138	4.01431	-2.42671
93.417	72.8468	15.4579	56.5907	5.50722	3.6854	3.63465	-2.80119	4.02671	-2.50369
95.429	72.8379	15.4554	56.6836	5.46834	3.6816	3.62233	-2.8101	4.02421	-2.41078
97.433	72.8289	15.4729	56.6599	5.49636	3.69663	3.63906	-2.81915	4.04173	-2.4345
99.444	72.8224	15.5004	56.7608	5.47621	3.70003	3.64024	-2.82563	4.06929	-2.33359
101.463	72.8095	15.5159	56.6964	5.52201	3.72151	3.66391	-2.83853	4.08471	-2.39801
103.473	72.8066	15.5243	56.691	5.5321	3.72701	3.67039	-2.84142	4.09318	-2.40341
105.477	72.794	15.5467	56.6467	5.57448	3.74849	3.69445	-2.85403	4.11557	-2.44773
107.484	72.7861	15.5439	56.6519	5.57413	3.75305	3.69551	-2.86194	4.11274	-2.44245
109.491	72.7822	15.5622	56.6751	5.57952	3.75951	3.70301	-2.86581	4.13102	-2.41926
111.501	72.7638	15.5714	56.6834	5.59219	3.77564	3.71433	-2.88419	4.14021	-2.41095
113.496	72.7647	15.5779	56.6873	5.59495	3.77669	3.71676	-2.8833	4.14679	-2.40712
115.5	72.7627	15.5895	56.6448	5.6229	3.78635	3.73033	-2.8853	4.15833	-2.44956
117.508	72.7514	15.5944	56.7637	5.58164	3.78436	3.71903	-2.89664	4.1632	-2.33065
119.52	72.7428	15.6129	56.6933	5.62957	3.80409	3.74335	-2.90521	4.18172	-2.40104
121.509	72.7231	15.6247	56.6737	5.6569	3.82496	3.76102	-2.92487	4.19354	-2.42071
123.501	72.7254	15.6369	56.6568	5.67203	3.82893	3.76906	-2.92265	4.20572	-2.43762
125.509	72.7219	15.6418	56.7129	5.65361	3.8274	3.76428	-2.9261	4.21067	-2.3815
127.501	72.7104	15.6636	56.7161	5.67442	3.84287	3.78002	-2.93756	4.23247	-2.37824
129.523	72.7051	15.6744	56.7013	5.69144	3.85194	3.79023	-2.94288	4.24327	-2.39304
131.532	72.6973	15.6767	56.7389	5.68148	3.85482	3.78888	-2.9507	4.24553	-2.35544
133.541	72.6868	15.6861	56.7657	5.68294	3.86318	3.79411	-2.96117	4.25491	-2.32872
135.559	72.6839	15.7021	56.7364	5.70854	3.87358	3.80827	-2.96413	4.27097	-2.358
137.567	72.675	15.7058	56.699	5.73141	3.88533	3.81982	-2.97297	4.27467	-2.39536
139.565	72.6741	15.7346	56.7107	5.74853	3.89414	3.83334	-2.97387	4.30344	-2.38373
141.567	72.6678	15.722	56.7895	5.71014	3.88697	3.81728	-2.98021	4.29086	-2.3049
143.583	72.6595	15.7648	56.676	5.79314	3.91863	3.86077	-2.98848	4.33366	-2.41843
145.584	72.6542	15.7453	56.7009	5.77086	3.91379	3.84895	-2.99378	4.3141	-2.39346
147.592	72.6467	15.7662	56.751	5.76988	3.92124	3.85525	-3.0013	4.33502	-2.34336
149.601	72.6379	15.7786	56.7804	5.77194	3.92907	3.86094	-3.01015	4.3474	-2.31397
151.617	72.633	15.7811	56.7237	5.79939	3.93935	3.87318	-3.01505	4.34995	-2.37073
153.622	72.6264	15.8068	56.7545	5.80956	3.94956	3.88453	-3.02161	4.3756	-2.33985
