#Wavelength [nm]	White Std.	Dark spec	0[s]	19.59[s]	39.645[s]	59.712[s]	79.828[s]	99.928[s]	120.008[s]	140.069[s]	160.162[s]	180.242[s]	200.324[s]	220.4[s]	240.439[s]	260.487[s]	280.54[s]	300.597[s]	300.618[s]
420.156	2097.42	1032.98	151.18	142.18	152.58	160.98	161.18	152.38	163.38	165.18	139.58	163.38	143.78	138.38	165.38	163.78	154.58	179.38	179.38
420.431	2166.58	1034.42	186.44	170.04	153.64	170.64	124.84	152.24	161.24	153.64	163.24	154.84	162.84	146.84	159.64	171.24	173.84	171.64	171.64
420.706	2268.67	1032.38	149.4	117	139.6	127.6	155.2	151	146.4	153.8	137.4	142	127.2	151	153.8	160.6	156.8	137.2	137.2
420.981	2380.65	1034.3	174.987	155.12	187.32	152.92	162.72	160.12	156.52	183.52	193.12	171.72	157.12	159.32	171.92	184.32	195.32	188.72	188.72
421.256	2499.86	1033.12	184.183	176.25	179.75	159.05	186.05	153.05	199.25	169.85	160.45	168.65	179.85	175.05	178.45	127.85	159.65	186.85	186.85
421.531	2620.01	1037.86	198.533	224	161.8	203.4	180.8	181	160	181.8	198.2	202	169.2	183.8	221.4	173.8	191	184.6	184.6
421.805	2755.52	1033.32	188.7	213.3	212.7	184.5	196.9	162.1	164.3	172.9	180.5	185.1	175.5	169.1	195.1	182.5	163.1	177.9	177.9
422.08	2816.77	1034.5	195.76	195.16	203.16	199.76	179.36	174.16	192.16	199.56	205.76	184.76	174.96	194.16	184.56	196.76	192.36	178.16	178.16
422.355	3038.76	1039.42	211.467	194.8	198	196.8	208.2	215	182	200	192.6	209.4	209	188.4	198	191.8	208.3	189.2	189.2
422.63	3131.63	1042.42	217.627	233.76	196.36	216.56	210.56	213.96	199.96	213.76	244.16	194.96	206.16	240.56	224.36	184.96	225.76	222.36	222.36
422.904	3226.56	1033.84	227.713	193.18	200.78	219.78	238.98	225.18	234.58	216.78	212.98	194.18	224.98	231.98	216.78	225.18	218.58	238.58	238.58
